P_mW,Tmax_K,DeltaT_K
1,298.979520955096,5.82952095509569
2,304.809041910191,11.6590419101913
3,310.638562865287,17.488562865287
4,316.468083820383,23.3180838203826
5,322.297604775478,29.1476047754783
6,328.127125730574,34.977125730574
7,333.95664668567,40.8066466856696
8,339.786167640765,46.6361676407653
9,345.615688595861,52.4656885958609
10,351.445209550957,58.2952095509566
11,357.274730506052,64.1247305060522
12,363.104251461148,69.9542514611479
13,368.933772416244,75.7837724162436
14,374.763293371339,81.6132933713392
15,380.592814326435,87.4428143264348
16,386.422335281531,93.2723352815306
17,392.251856236626,99.1018562366262
18,398.081377191722,104.931377191722
19,403.910898146817,110.760898146818
20,409.740419101913,116.590419101913
21,415.569940057009,122.419940057009
22,421.399461012104,128.249461012104
23,427.2289819672,134.0789819672
24,433.058502922296,139.908502922296
25,438.888023877391,145.738023877391
26,444.717544832487,151.567544832487
27,450.547065787583,157.397065787583
28,456.376586742678,163.226586742678
29,462.206107697774,169.056107697774
30,468.03562865287,174.88562865287
31,473.865149607965,180.715149607965
32,479.694670563061,186.544670563061
33,485.524191518157,192.374191518157
34,491.353712473252,198.203712473252
35,497.183233428348,204.033233428348
36,503.012754383444,209.862754383444
37,508.842275338539,215.692275338539
38,514.671796293635,221.521796293635
39,520.501317248731,227.351317248731
40,526.330838203826,233.180838203826
41,532.160359158922,239.010359158922
42,537.989880114018,244.839880114018
43,543.819401069113,250.669401069113
44,549.648922024209,256.498922024209
45,555.478442979305,262.328442979305
46,561.3079639344,268.1579639344
47,567.137484889496,273.987484889496
48,572.967005844592,279.817005844592
49,578.796526799687,285.646526799687
50,584.626047754783,291.476047754783
51,590.455568709879,297.305568709879
52,596.285089664974,303.135089664974
53,602.11461062007,308.96461062007
54,607.944131575166,314.794131575166
55,613.773652530261,320.623652530261
56,619.603173485357,326.453173485357
57,625.432694440452,332.282694440452
58,631.262215395548,338.112215395548
59,637.091736350644,343.941736350644
60,642.921257305739,349.771257305739
61,648.750778260835,355.600778260835
62,654.580299215931,361.430299215931
63,660.409820171026,367.259820171026
64,666.239341126122,373.089341126122
65,672.068862081218,378.918862081218
66,677.898383036313,384.748383036313
67,683.727903991409,390.577903991409
68,689.557424946505,396.407424946505
69,695.3869459016,402.2369459016
70,701.216466856696,408.066466856696
71,707.045987811792,413.895987811792
72,712.875508766887,419.725508766887
73,718.705029721983,425.555029721983
74,724.534550677079,431.384550677079
75,730.364071632174,437.214071632174
76,736.19359258727,443.04359258727
77,742.023113542366,448.873113542366
78,747.852634497461,454.702634497461
79,753.682155452557,460.532155452557
80,759.511676407653,466.361676407653
81,765.341197362749,472.191197362749
82,771.170718317844,478.020718317844
83,777.00023927294,483.85023927294
84,782.829760228035,489.679760228035
85,788.659281183131,495.509281183131
86,794.488802138227,501.338802138227
87,800.318323093322,507.168323093322
88,806.147844048418,512.997844048418
89,811.977365003514,518.827365003514
90,817.806885958609,524.656885958609
91,823.636406913705,530.486406913705
92,829.4659278688,536.3159278688
93,835.295448823896,542.145448823896
94,841.124969778992,547.974969778992
95,846.954490734087,553.804490734087
96,852.784011689183,559.634011689183
97,858.613532644279,565.463532644279
98,864.443053599374,571.293053599375
99,870.27257455447,577.12257455447
100,876.102095509566,582.952095509566
