thermal_lens_f_mm,tem00_purity,higher_order_content,tem00,tem01,tem02,tem10,tem11,tem20
20.0,0.516622029696152,0.483377970303848,0.516622029696152,3.9395022484126436e-33,0.24168898515192394,1.621730192405445e-35,1.2438566998091489e-36,0.241688985151924
29.79591836734694,0.5514753271261511,0.4485246728738489,0.5514753271261511,1.2121545379731212e-33,0.22426233643692442,7.068435336789065e-35,1.6350473198978266e-36,0.22426233643692448
39.59183673469388,0.5781743320728181,0.4218256679271819,0.5781743320728181,4.8486181518924834e-33,0.21091283396359095,1.3169159409131811e-36,1.5721608845171403e-38,0.21091283396359095
49.38775510204081,0.6198185992192156,0.38018140078078444,0.6198185992192156,1.2121545379731208e-33,0.19009070039039216,8.197431811976431e-35,1.2577287076137123e-36,0.19009070039039233
59.183673469387756,0.6805998952227409,0.3194001047772591,0.6805998952227409,3.939502248412644e-33,0.1597000523886296,8.473484767287234e-35,5.345347007358277e-36,0.15970005238862958
68.9795918367347,0.72238624489599,0.27761375510401,0.72238624489599,3.939502248412644e-33,0.13880687755200496,1.0712889227203858e-35,8.82259696370207e-37,0.13880687755200496
78.77551020408163,0.7481003106974387,0.25189968930256135,0.7481003106974387,9.697236303784967e-34,0.12594984465128065,2.1840089087503993e-35,1.0626535978620448e-36,0.1259498446512807
88.57142857142857,0.7645647369445496,0.23543526305545037,0.7645647369445496,5.454695420879046e-34,0.11771763152772509,8.049463728727758e-36,1.6713457403197657e-36,0.11771763152772524
98.36734693877551,0.7756906210458041,0.2243093789541959,0.7756906210458041,4.0152619070359626e-33,0.11215468947709796,1.516672853298888e-35,1.2247364490518597e-35,0.11215468947709792
108.16326530612245,0.7835631154217751,0.21643688457822485,0.7835631154217751,2.181878168351618e-33,0.10821844228911244,5.332769720282137e-35,2.73047353619815e-36,0.10821844228911244
117.9591836734694,0.7893443638968024,0.2106556361031976,0.7893443638968024,2.1818781683516172e-33,0.10532781805159881,8.759710528321379e-36,1.961747553703413e-36,0.10532781805159881
127.75510204081633,0.7937189920016402,0.2062810079983598,0.7937189920016402,0.0,0.1031405039991798,2.2870316867122867e-36,2.3975453488886388e-36,0.10314050399917998
137.55102040816325,0.7971325351417722,0.20286746485822782,0.7971325351417722,9.697236303784965e-34,0.1014337324291138,1.0002642427610227e-35,1.8675652907153085e-35,0.10143373242911387
147.3469387755102,0.7997557993227965,0.2002442006772035,0.7997557993227965,1.9394472607569938e-33,0.10012210033860179,9.355282063397288e-36,1.5317008617538316e-36,0.10012210033860172
157.14285714285714,0.8021132118789983,0.1978867881210017,0.8021132118789983,9.697236303784967e-34,0.09894339406050082,2.426676565278221e-36,4.884102747856557e-36,0.09894339406050089
166.9387755102041,0.8033509107967914,0.19664908920320856,0.8033509107967914,9.697236303784969e-34,0.0983245446016043,2.9001744316739724e-36,9.52775736043402e-37,0.09832454460160434
176.73469387755102,0.8061075325625731,0.19389246743742694,0.8061075325625731,1.212154537973121e-33,0.09694623371871348,1.5419199075031927e-35,2.2917712893788464e-37,0.09694623371871355
186.53061224489795,0.8056161547430063,0.1943838452569937,0.8056161547430063,2.642496892781404e-32,0.0971919226284968,1.3080378559182605e-35,2.3957535478805487e-36,0.0971919226284969
196.3265306122449,0.8059755448472283,0.19402445515277167,0.8059755448472283,0.0,0.09701222757638582,2.704856561785725e-35,4.004212852819629e-36,0.09701222757638586
206.12244897959184,0.8127462457887246,0.18725375421127544,0.8127462457887246,9.697236303784967e-34,0.0936268771056377,8.818897761620853e-36,1.0150263710663787e-36,0.0936268771056377
215.9183673469388,0.8099546077331988,0.19004539226680117,0.8099546077331988,3.787982931166005e-34,0.09502269613340052,1.2310944526289512e-35,1.0838951098127825e-35,0.09502269613340068
225.71428571428572,0.8003818981756341,0.1996181018243659,0.8003818981756341,9.69723630378497e-34,0.09980905091218292,2.1677324195930461e-35,8.390541720622456e-36,0.09980905091218295
235.51020408163265,0.8067876233694136,0.19321237663058644,0.8067876233694136,8.727512673406474e-33,0.09660618831529325,9.706706261112886e-36,1.5470178703713704e-36,0.09660618831529325
245.3061224489796,0.8249809184340093,0.17501908156599066,0.8249809184340093,9.697236303784975e-33,0.08750954078299532,1.1600697726695893e-35,4.501293132483139e-36,0.08750954078299535
255.10204081632654,0.8272309469050952,0.17276905309490476,0.8272309469050952,9.697236303784967e-34,0.08638452654745234,9.469957327915009e-36,1.0210375744483562e-36,0.08638452654745239
264.8979591836735,0.8047106695043245,0.19528933049567554,0.8047106695043245,2.4243090759462426e-34,0.09764466524783774,1.0801670077153056e-36,3.075322980214711e-38,0.09764466524783774
274.6938775510204,0.7810514796263407,0.2189485203736593,0.7810514796263407,2.595620604008224e-32,0.10947426018682967,1.5244007176466802e-35,7.744741957287524e-36,0.10947426018682967
284.48979591836735,0.7831264033988709,0.21687359660112915,0.7831264033988709,8.727512673406469e-33,0.10843679830056452,1.577709687638964e-35,1.6695539393116757e-36,0.10843679830056463
294.2857142857143,0.8127941907582892,0.18720580924171082,0.8127941907582892,4.848618151892483e-33,0.09360290462085542,1.4929979599791004e-35,1.3409607544410901e-38,0.09360290462085549
304.0816326530612,0.84872471799965,0.15127528200035,0.84872471799965,8.727512673406469e-33,0.07563764100017503,2.959361664973439e-36,3.3967923110773263e-36,0.07563764100017498
313.8775510204082,0.865210555475461,0.134789444524539,0.865210555475461,2.521281438984092e-32,0.06739472226226952,4.7349786639575026e-36,2.1657094184548793e-36,0.06739472226226952
323.6734693877551,0.8491889344270527,0.15081106557294732,0.8491889344270527,9.697236303784962e-34,0.0754055327864736,2.4266765652782193e-35,8.702372896062521e-37,0.07540553278647366
333.46938775510205,0.8070450256386976,0.19295497436130238,0.8070450256386976,9.697236303784967e-34,0.09647748718065116,8.582148828422978e-36,6.941783905533402e-38,0.09647748718065126
343.265306122449,0.75915879069122,0.24084120930877995,0.75915879069122,8.788120400305129e-33,0.12042060465439001,1.3080378559182608e-35,5.044613438161854e-36,0.12042060465439001
353.0612244897959,0.7271550689308545,0.27284493106914554,0.7271550689308545,4.848618151892483e-33,0.13642246553457282,3.2922898522829523e-37,7.297254105525329e-37,0.13642246553457277
362.8571428571429,0.7233816988892182,0.2766183011107818,0.7233816988892182,2.9697786180341474e-33,0.13830915055539084,9.137953941125804e-36,1.0693006016017312e-36,0.138309150555391
372.6530612244898,0.7480595363960093,0.2519404636039907,0.7480595363960093,1.662166910195643e-32,0.1259702318019952,2.564125042608433e-35,1.3104423372710523e-36,0.12597023180199537
382.44897959183675,0.7923840564154013,0.20761594358459867,0.7923840564154013,3.297060343286891e-32,0.10380797179229925,2.130740398780878e-36,1.1987726744443199e-36,0.10380797179229936
392.2448979591837,0.8433863740771212,0.15661362592287875,0.8433863740771212,1.6742884555753722e-32,0.07830681296143929,1.0313375402432438e-35,6.889763876266288e-37,0.07830681296143942
402.0408163265306,0.8880334405035009,0.11196655949649914,0.8880334405035009,2.1818781683516182e-33,0.05598327974824965,2.4518311394304955e-35,2.7087407239710026e-36,0.05598327974824956
411.8367346938776,0.916005855194815,0.08399414480518497,0.916005855194815,3.878894521513986e-32,0.041997072402592435,8.759710528321379e-36,2.0550368061890994e-36,0.04199707240259254
421.6326530612245,0.9213279501752698,0.0786720498247302,0.9213279501752698,9.697236303784962e-34,0.039336024912365125,1.0653701993904381e-36,1.0588965957483083e-36,0.03933602491236502
431.42857142857144,0.9029871688646435,0.09701283113535653,0.9029871688646435,9.697236303784965e-34,0.04850641556767813,3.4683718713488715e-35,1.023884226049917e-36,0.048506415567678304
441.2244897959184,0.8645579741940607,0.13544202580593934,0.8645579741940607,2.4243090759462413e-32,0.06772101290296961,4.794165897256973e-36,1.8972860674365856e-36,0.06772101290296959
451.0204081632653,0.8129396678367964,0.1870603321632036,0.8129396678367964,7.75778904302797e-32,0.09353016608160189,1.9709348688723111e-35,2.0160651342631563e-36,0.09353016608160179
460.81632653061223,0.7565616238447506,0.24343837615524944,0.7565616238447506,2.812198528097641e-32,0.12171918807762465,3.628177401257437e-35,1.9652011056464247e-38,0.12171918807762465
470.6122448979592,0.7035775527443905,0.2964224472556095,0.7035775527443905,6.0607726898656054e-33,0.14821122362780473,1.1659884959995356e-35,3.0342705071180816e-36,0.1482112236278048
480.40816326530614,0.660511450538146,0.33948854946185403,0.660511450538146,3.878894521513989e-33,0.16974427473092701,2.8705808150242385e-35,1.0699942019919599e-36,0.16974427473092701
490.2040816326531,0.6315736984008956,0.3684263015991044,0.6315736984008956,5.878949509169637e-33,0.1842131507995522,8.582148828422978e-36,7.07703598162789e-37,0.18421315079955225
500.0,0.618598853966306,0.381401146033694,0.618598853966306,1.2121545379731203e-33,0.19070057301684704,1.0313375402432439e-35,2.9030066332674025e-36,0.19070057301684704
